"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,7652,7652,256,50,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.007070,2869648634541645,2869648634544006
2,2,"Agent 2",1,7652,7652,256,50,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.008147,2869648635545691,2869648635547251
3,3,"Agent 2",1,7652,7652,256,50,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.011443,2869648635624292,2869648635625852
4,4,"Agent 2",1,7652,7652,256,50,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.010536,2869648635695612,2869648635697012
5,5,"Agent 2",1,7652,7652,256,50,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.006834,2869648635767332,2869648635768452
6,6,"Agent 2",1,7652,7652,256,164,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.012926,2869648635837773,2869648635838893
7,7,"Agent 2",1,7652,7652,512,164,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.011398,2869648635907933,2869648635910213
8,8,"Agent 2",1,7652,7652,98304,164,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.492404,2869648635977293,2869648635979974
9,9,"Agent 2",1,7652,7652,512,174,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MeanOccupancyPerActiveCU",1.477201,2869648636049294,2869648636052054
10,10,"Agent 2",1,7652,7652,512,174,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MeanOccupancyPerActiveCU",1.545630,2869648636159055,2869648636161575
11,11,"Agent 2",1,7652,7652,512,174,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MeanOccupancyPerActiveCU",1.466428,2869648636237975,2869648636240855
12,12,"Agent 2",1,7652,7652,3072,179,"_kda_recurrent_decode_kernel",64,0,0,84,0,48,"MeanOccupancyPerActiveCU",1.001928,2869648730114121,2869648730119561
13,13,"Agent 2",1,7652,7652,3072,179,"_kda_recurrent_decode_kernel",64,0,0,84,0,48,"MeanOccupancyPerActiveCU",1.001988,2869648730607963,2869648730613203
