"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,8499,8499,786432,143,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689643313140,2869689643318580
2,2,"Agent 2",1,8499,8499,786432,143,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689644204025,2869689644208425
3,3,"Agent 2",1,8499,8499,786432,143,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689644283585,2869689644287985
4,4,"Agent 2",1,8499,8499,786432,143,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689644355146,2869689644359346
5,5,"Agent 2",1,8499,8499,6144,143,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689644429346,2869689644431026
6,6,"Agent 2",1,8499,8499,256,75,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689644499466,2869689644500746
7,7,"Agent 2",1,8499,8499,512,75,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689644570267,2869689644571987
8,8,"Agent 2",1,8499,8499,49152,75,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689644640187,2869689644642027
9,9,"Agent 2",1,8499,8499,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"LdsLatency",0.00000000e+00,2869689644709428,2869689644712588
10,10,"Agent 2",1,8499,8499,256,242,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)",256,0,0,8,0,32,"LdsLatency",0.00000000e+00,2869689663601151,2869689663603231
11,11,"Agent 2",1,8499,8499,256,350,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)",256,0,0,8,0,32,"LdsLatency",0.00000000e+00,2869689663811312,2869689663813272
12,12,"Agent 2",1,8499,8499,256,350,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)",256,0,0,8,0,32,"LdsLatency",0.00000000e+00,2869689663880912,2869689663882752
13,13,"Agent 2",1,8499,8499,256,736,"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul>)",256,0,0,8,0,32,"LdsLatency",0.00000000e+00,2869689687641172,2869689687643652
14,14,"Agent 2",1,8499,8499,256,48,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689687838854,2869689687840294
15,15,"Agent 2",1,8499,8499,256,1072,"void rocprim::ROCPRIM_400200_NS::detail::trampoline_kernel<rocprim::ROCPRIM_400200_NS::detail::wrapped_scan_config<rocprim::ROCPRIM_400200_NS::default_config, int>, (rocprim::ROCPRIM_400200_NS::detail::target_arch)950, rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2}, rocprim::ROCPRIM_400200_NS::detail::default_config_selector>(rocprim::ROCPRIM_400200_NS::detail::scan_impl<(rocprim::ROCPRIM_400200_NS::detail::lookback_scan_determinism)0, false, false, rocprim::ROCPRIM_400200_NS::default_config, int const*, int*, int, std::plus<int>, int>(void*, unsigned long&, int const*, int*, int, unsigned long, std::plus<int>, ihipStream_t*, bool)::{lambda(auto:1, auto:2)#1}::operator()<std::integral_constant<bool, false>, std::integral_constant<bool, true> >(std::integral_constant<bool, false>, std::integral_constant<bool, true>) const::{lambda(auto:1)#2})",256,16896,0,28,0,48,"LdsLatency",48.638614,2869689796355743,2869689796358583
16,16,"Agent 2",1,8499,8499,1024,175,"__amd_rocclr_copyBuffer",1024,0,0,8,0,32,"LdsLatency",0.00000000e+00,2869689796693264,2869689796695224
17,17,"Agent 2",1,8499,8499,128,2178,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",128,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869689802118095,2869689802119735
18,18,"Agent 2",1,8499,8499,128,2599,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1})",128,0,0,8,0,64,"LdsLatency",0.00000000e+00,2869689822478820,2869689822482420
19,19,"Agent 2",1,8499,8499,64,2616,"void at::native::(anonymous namespace)::searchsorted_cuda_kernel<long, long>(long*, long const*, long const*, long const*, long, long, long, bool, bool)",64,0,0,12,0,48,"LdsLatency",0.00000000e+00,2869689824414991,2869689824417271
20,20,"Agent 2",1,8499,8499,128,2761,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",128,0,0,8,0,96,"LdsLatency",0.00000000e+00,2869689841115045,2869689841117765
21,21,"Agent 2",1,8499,8499,128,314,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<long> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<long> const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<long> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<long> const&)::{lambda(int, bool)#1})",128,0,0,12,0,80,"LdsLatency",0.00000000e+00,2869689841229525,2869689841233245
22,22,"Agent 2",1,8499,8499,512,2973,"void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous namespace)::OpaqueType<8u>, unsigned int, 2, 128, 1>(at::native::(anonymous namespace)::OpaqueType<8u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<8u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",256,0,0,8,0,32,"LdsLatency",0.00000000e+00,2869689851607614,2869689851611094
23,23,"Agent 2",1,8499,8499,128,2411,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1} const&)::{lambda(int, bool)#1})",128,0,0,8,0,64,"LdsLatency",0.00000000e+00,2869689851734815,2869689851739735
24,24,"Agent 2",1,8499,8499,196608,3026,"_preprocess_intra_fwd_kernel",256,0,0,108,0,48,"LdsLatency",64.266732,2869689946562777,2869689946630337
25,25,"Agent 2",1,8499,8499,49152,3027,"_solve_merge_64_fwd_kernel",64,0,0,36,0,32,"LdsLatency",45.018971,2869689950089066,2869689950114266
26,26,"Agent 2",1,8499,8499,196608,3028,"_wu_vector_fwd_kernel",256,0,0,96,0,48,"LdsLatency",148.157650,2869689952602170,2869689952630810
27,27,"Agent 2",1,8499,8499,49152,3029,"_state_scan_fwd_kernel",256,0,0,60,0,112,"LdsLatency",50.078035,2869689955163945,2869689955317586
28,28,"Agent 2",1,8499,8499,196608,3030,"_output_fwd_kernel",256,0,0,52,0,112,"LdsLatency",82.716580,2869689957777489,2869689957791210
29,29,"Agent 2",1,8499,8499,196608,3026,"_preprocess_intra_fwd_kernel",256,0,0,108,0,48,"LdsLatency",64.273987,2869689958273972,2869689958341133
30,30,"Agent 2",1,8499,8499,49152,3027,"_solve_merge_64_fwd_kernel",64,0,0,36,0,32,"LdsLatency",44.985056,2869689958410213,2869689958434533
31,31,"Agent 2",1,8499,8499,196608,3028,"_wu_vector_fwd_kernel",256,0,0,96,0,48,"LdsLatency",148.015620,2869689958502734,2869689958529094
32,32,"Agent 2",1,8499,8499,49152,3029,"_state_scan_fwd_kernel",256,0,0,60,0,112,"LdsLatency",50.082700,2869689958600214,2869689958751975
33,33,"Agent 2",1,8499,8499,196608,3030,"_output_fwd_kernel",256,0,0,52,0,112,"LdsLatency",83.162910,2869689958820135,2869689958833815
