"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,6236,6236,512,128,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",4.562500,2869584965214924,2869584965217324
2,2,"Agent 2",1,6236,6236,147456,128,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",13.750000,2869584966323930,2869584966327130
3,3,"Agent 2",1,6236,6236,128,183,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>::result_type*)",128,0,0,4,0,16,"FetchSize",2.312500,2869584970335583,2869584970337543
4,4,"Agent 2",1,6236,6236,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"FetchSize",2.562500,2869584970653305,2869584970656025
5,5,"Agent 2",1,6236,6236,98304,94,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",8.562500,2869584970857306,2869584970859306
6,6,"Agent 2",1,6236,6236,256,94,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",1.062500,2869584971034347,2869584971035787
7,7,"Agent 2",1,6236,6236,256,169,"__amd_rocclr_initHeap",256,0,0,8,0,32,"FetchSize",1.812500,2869585073931264,2869585073934504
8,8,"Agent 2",1,6236,6236,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"FetchSize",1269.000000,2869585074138304,2869585074147024
9,9,"Agent 2",1,6236,6236,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"FetchSize",6947.500000,2869585076913179,2869585076925579
10,10,"Agent 2",1,6236,6236,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"FetchSize",1268.000000,2869585077474963,2869585077483763
11,11,"Agent 2",1,6236,6236,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"FetchSize",6946.500000,2869585077667524,2869585077679724
