"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,6552,6552,512,166,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LDSBankConflict",0.00000000e+00,2869598960008179,2869598960010739
2,2,"Agent 2",1,6552,6552,147456,166,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LDSBankConflict",0.00000000e+00,2869598961057204,2869598961060604
3,3,"Agent 2",1,6552,6552,128,187,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>::result_type*)",128,0,0,4,0,16,"LDSBankConflict",0.00000000e+00,2869598965220347,2869598965222187
4,4,"Agent 2",1,6552,6552,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"LDSBankConflict",0.00000000e+00,2869598965540348,2869598965543228
5,5,"Agent 2",1,6552,6552,98304,83,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LDSBankConflict",0.00000000e+00,2869598965663509,2869598965665709
6,6,"Agent 2",1,6552,6552,256,83,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LDSBankConflict",0.00000000e+00,2869598965746830,2869598965748150
7,7,"Agent 2",1,6552,6552,256,169,"__amd_rocclr_initHeap",256,0,0,8,0,32,"LDSBankConflict",0.00000000e+00,2869599074609000,2869599074612320
8,8,"Agent 2",1,6552,6552,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"LDSBankConflict",8.63235500e-02,2869599074683200,2869599074692560
9,9,"Agent 2",1,6552,6552,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,2869599077836738,2869599077849018
10,10,"Agent 2",1,6552,6552,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"LDSBankConflict",8.48098655e-02,2869599078448421,2869599078457261
11,11,"Agent 2",1,6552,6552,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"LDSBankConflict",0.00000000e+00,2869599078515502,2869599078527542
