"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,6631,6631,512,60,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869602757666516,2869602757668996
2,2,"Agent 2",1,6631,6631,147456,60,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869602758607561,2869602758610681
3,3,"Agent 2",1,6631,6631,128,184,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>::result_type*)",128,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869602762480373,2869602762482053
4,4,"Agent 2",1,6631,6631,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"LdsLatency",0.00000000e+00,2869602762725094,2869602762727974
5,5,"Agent 2",1,6631,6631,98304,62,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869602762823935,2869602762826095
6,6,"Agent 2",1,6631,6631,256,62,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,2869602762897775,2869602762899215
7,7,"Agent 2",1,6631,6631,256,177,"__amd_rocclr_initHeap",256,0,0,8,0,32,"LdsLatency",0.00000000e+00,2869602865178458,2869602865181738
8,8,"Agent 2",1,6631,6631,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"LdsLatency",58.888963,2869602865267458,2869602865276258
9,9,"Agent 2",1,6631,6631,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"LdsLatency",0.00000000e+00,2869602867914703,2869602867927103
10,10,"Agent 2",1,6631,6631,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"LdsLatency",58.861813,2869602868404306,2869602868413106
11,11,"Agent 2",1,6631,6631,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"LdsLatency",0.00000000e+00,2869602868485026,2869602868497066
