"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,6710,6710,512,160,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",3.30307904e-02,2869606268223671,2869606268226071
2,2,"Agent 2",1,6710,6710,147456,160,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",7.87864065e-02,2869606269239916,2869606269243396
3,3,"Agent 2",1,6710,6710,128,187,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>::result_type*)",128,0,0,4,0,16,"MemUnitStalled",1.29839471e-02,2869606273252479,2869606273254159
4,4,"Agent 2",1,6710,6710,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemUnitStalled",1.16459627e-02,2869606273572001,2869606273574761
5,5,"Agent 2",1,6710,6710,98304,33,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",3.03160330e-03,2869606273757562,2869606273759602
6,6,"Agent 2",1,6710,6710,256,33,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.86063936e-02,2869606273892522,2869606273893883
7,7,"Agent 2",1,6710,6710,256,175,"__amd_rocclr_initHeap",256,0,0,8,0,32,"MemUnitStalled",6.58075970e-02,2869606376833603,2869606376836563
8,8,"Agent 2",1,6710,6710,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"MemUnitStalled",1.25889186e-01,2869606377001283,2869606377009963
9,9,"Agent 2",1,6710,6710,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"MemUnitStalled",1.11599983e-02,2869606379614747,2869606379627148
10,10,"Agent 2",1,6710,6710,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"MemUnitStalled",1.18101908e-01,2869606380141150,2869606380149950
11,11,"Agent 2",1,6710,6710,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"MemUnitStalled",1.17523032e-02,2869606380294751,2869606380306871
