"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,6315,6315,512,144,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",216.000000,2869588485830805,2869588485833325
2,2,"Agent 2",1,6315,6315,147456,144,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",73728.000000,2869588486841297,2869588486844257
3,3,"Agent 2",1,6315,6315,128,192,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>::result_type*)",128,0,0,4,0,16,"MemWrites32B",8.000000,2869588490693272,2869588490694912
4,4,"Agent 2",1,6315,6315,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemWrites32B",1.000000,2869588490946195,2869588490949195
5,5,"Agent 2",1,6315,6315,98304,139,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",49152.000000,2869588491123357,2869588491125557
6,6,"Agent 2",1,6315,6315,256,139,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",96.000000,2869588491248839,2869588491250239
7,7,"Agent 2",1,6315,6315,256,173,"__amd_rocclr_initHeap",256,0,0,8,0,32,"MemWrites32B",4098.000000,2869588594219119,2869588594222319
8,8,"Agent 2",1,6315,6315,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"MemWrites32B",6336.000000,2869588594373639,2869588594382239
9,9,"Agent 2",1,6315,6315,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"MemWrites32B",192.000000,2869588597067814,2869588597080254
10,10,"Agent 2",1,6315,6315,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"MemWrites32B",6336.000000,2869588597574097,2869588597582897
11,11,"Agent 2",1,6315,6315,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"MemWrites32B",192.000000,2869588597707658,2869588597719738
