"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,6473,6473,512,168,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,2869595386026128,2869595386028288
2,2,"Agent 2",1,6473,6473,147456,168,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,2869595386956374,2869595386959574
3,3,"Agent 2",1,6473,6473,128,188,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>::result_type*)",128,0,0,4,0,16,"MfmaUtil",0.00000000e+00,2869595391009526,2869595391011086
4,4,"Agent 2",1,6473,6473,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MfmaUtil",0.00000000e+00,2869595391300407,2869595391303127
5,5,"Agent 2",1,6473,6473,98304,134,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,2869595391412048,2869595391414168
6,6,"Agent 2",1,6473,6473,256,134,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,2869595391495128,2869595391496568
7,7,"Agent 2",1,6473,6473,256,174,"__amd_rocclr_initHeap",256,0,0,8,0,32,"MfmaUtil",0.00000000e+00,2869595494551467,2869595494554747
8,8,"Agent 2",1,6473,6473,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"MfmaUtil",3.35190023e-01,2869595494624027,2869595494632827
9,9,"Agent 2",1,6473,6473,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"MfmaUtil",0.00000000e+00,2869595497441502,2869595497453702
10,10,"Agent 2",1,6473,6473,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"MfmaUtil",3.20256205e-01,2869595497943905,2869595497952585
11,11,"Agent 2",1,6473,6473,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"MfmaUtil",0.00000000e+00,2869595498008345,2869595498020305
