"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,53415,53415,256,127,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",2.250000,1940428648787322,1940428648789202
2,2,"Agent 2",1,53415,53415,256,127,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",1.062500,1940428649633168,1940428649634488
3,3,"Agent 2",1,53415,53415,256,127,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",1.062500,1940428649821409,1940428649822769
4,4,"Agent 2",1,53415,53415,256,127,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",1.062500,1940428649998970,1940428650000170
5,5,"Agent 2",1,53415,53415,256,127,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",1.062500,1940428650203051,1940428650204051
6,6,"Agent 2",1,53415,53415,256,80,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",1.500000,1940428650389213,1940428650390893
7,7,"Agent 2",1,53415,53415,512,80,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",3.000000,1940428650570574,1940428650572734
8,8,"Agent 2",1,53415,53415,98304,80,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"FetchSize",12.625000,1940428650747775,1940428650750815
9,9,"Agent 2",1,53415,53415,512,174,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"FetchSize",2.562500,1940428650943616,1940428650946336
10,10,"Agent 2",1,53415,53415,512,174,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"FetchSize",1.500000,1940428651130458,1940428651133058
11,11,"Agent 2",1,53415,53415,512,174,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"FetchSize",1.500000,1940428651326579,1940428651329499
12,12,"Agent 2",1,53415,53415,3072,179,"_kda_recurrent_decode_kernel",64,0,0,92,0,48,"FetchSize",489.000000,1940428746704221,1940428746709382
13,13,"Agent 2",1,53415,53415,3072,179,"_kda_recurrent_decode_kernel",64,0,0,92,0,48,"FetchSize",488.000000,1940428747191424,1940428747196384
