"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,53795,53795,256,112,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,1940445453831814,1940445453833734
2,2,"Agent 2",1,53795,53795,256,112,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,1940445454563099,1940445454564539
3,3,"Agent 2",1,53795,53795,256,112,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,1940445454648699,1940445454650099
4,4,"Agent 2",1,53795,53795,256,112,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,1940445454723180,1940445454724740
5,5,"Agent 2",1,53795,53795,256,112,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,1940445454793940,1940445454795140
6,6,"Agent 2",1,53795,53795,256,59,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,1940445454860821,1940445454862581
7,7,"Agent 2",1,53795,53795,512,59,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,1940445454930141,1940445454932301
8,8,"Agent 2",1,53795,53795,98304,59,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"LdsLatency",0.00000000e+00,1940445455000102,1940445455003302
9,9,"Agent 2",1,53795,53795,512,177,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"LdsLatency",0.00000000e+00,1940445455071942,1940445455074822
10,10,"Agent 2",1,53795,53795,512,177,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"LdsLatency",0.00000000e+00,1940445455163143,1940445455165623
11,11,"Agent 2",1,53795,53795,512,177,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"LdsLatency",0.00000000e+00,1940445455249023,1940445455252023
12,12,"Agent 2",1,53795,53795,3072,179,"_kda_recurrent_decode_kernel",64,0,0,92,0,48,"LdsLatency",0.00000000e+00,1940445551120612,1940445551125972
13,13,"Agent 2",1,53795,53795,3072,179,"_kda_recurrent_decode_kernel",64,0,0,92,0,48,"LdsLatency",0.00000000e+00,1940445551520254,1940445551525494
