"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,53871,53871,256,149,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",2.68895614e-02,1940448765307393,1940448765309353
2,2,"Agent 2",1,53871,53871,256,149,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.98086910e-02,1940448766123398,1940448766124678
3,3,"Agent 2",1,53871,53871,256,149,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",2.10204777e-02,1940448766275599,1940448766276959
4,4,"Agent 2",1,53871,53871,256,149,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",2.17466945e-02,1940448766425680,1940448766427080
5,5,"Agent 2",1,53871,53871,256,149,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.55400565e-02,1940448766559881,1940448766561081
6,6,"Agent 2",1,53871,53871,256,36,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.17123966e-02,1940448766697842,1940448766699562
7,7,"Agent 2",1,53871,53871,512,36,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.20754750e-02,1940448766832963,1940448766835203
8,8,"Agent 2",1,53871,53871,98304,36,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemUnitStalled",1.07232803e-01,1940448766965043,1940448766968283
9,9,"Agent 2",1,53871,53871,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemUnitStalled",9.52743902e-03,1940448767102164,1940448767105004
10,10,"Agent 2",1,53871,53871,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemUnitStalled",1.01390498e-02,1940448767249525,1940448767251925
11,11,"Agent 2",1,53871,53871,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemUnitStalled",1.09383414e-02,1940448767408246,1940448767411126
12,12,"Agent 2",1,53871,53871,3072,179,"_kda_recurrent_decode_kernel",64,0,0,92,0,48,"MemUnitStalled",1.44610836e-02,1940448862697246,1940448862702646
13,13,"Agent 2",1,53871,53871,3072,179,"_kda_recurrent_decode_kernel",64,0,0,92,0,48,"MemUnitStalled",1.45546284e-02,1940448863162248,1940448863167408
