"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,53491,53491,256,79,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",96.000000,1940431967500766,1940431967503166
2,2,"Agent 2",1,53491,53491,256,79,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",96.000000,1940431968199650,1940431968201170
3,3,"Agent 2",1,53491,53491,256,79,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",96.000000,1940431968329891,1940431968331331
4,4,"Agent 2",1,53491,53491,256,79,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",96.000000,1940431968453692,1940431968455012
5,5,"Agent 2",1,53491,53491,256,79,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",1.000000,1940431968573173,1940431968574213
6,6,"Agent 2",1,53491,53491,256,98,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",2.000000,1940431968696534,1940431968698374
7,7,"Agent 2",1,53491,53491,512,98,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",192.000000,1940431968822054,1940431968824574
8,8,"Agent 2",1,53491,53491,98304,98,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MemWrites32B",49152.000000,1940431968943775,1940431968946615
9,9,"Agent 2",1,53491,53491,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemWrites32B",1.000000,1940431969073576,1940431969076336
10,10,"Agent 2",1,53491,53491,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemWrites32B",1.000000,1940431969201937,1940431969204417
11,11,"Agent 2",1,53491,53491,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MemWrites32B",1.000000,1940431969326738,1940431969329618
12,12,"Agent 2",1,53491,53491,3072,179,"_kda_recurrent_decode_kernel",64,0,0,92,0,48,"MemWrites32B",24672.000000,1940432064651740,1940432064657260
13,13,"Agent 2",1,53491,53491,3072,179,"_kda_recurrent_decode_kernel",64,0,0,92,0,48,"MemWrites32B",24672.000000,1940432065068102,1940432065073262
