"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,54175,54175,786432,130,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",6.742100,1940462408553258,1940462408559058
2,2,"Agent 2",1,54175,54175,786432,130,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",6.087839,1940462409211102,1940462409215702
3,3,"Agent 2",1,54175,54175,786432,130,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",6.028818,1940462409287783,1940462409292263
4,4,"Agent 2",1,54175,54175,786432,130,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",6.172881,1940462409362343,1940462409366783
5,5,"Agent 2",1,54175,54175,6144,130,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.008826,1940462409430384,1940462409432384
6,6,"Agent 2",1,54175,54175,256,164,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.009737,1940462409503504,1940462409504744
7,7,"Agent 2",1,54175,54175,512,164,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.008949,1940462409576025,1940462409577345
8,8,"Agent 2",1,54175,54175,49152,164,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.012563,1940462409645705,1940462409647465
9,9,"Agent 2",1,54175,54175,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MeanOccupancyPerActiveCU",1.511011,1940462409711026,1940462409713826
10,10,"Agent 2",1,54175,54175,256,329,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)",256,0,0,8,0,32,"MeanOccupancyPerActiveCU",1.005792,1940462428466021,1940462428467781
