"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,54251,54251,786432,78,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,1940465984515953,1940465984521073
2,2,"Agent 2",1,54251,54251,786432,78,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,1940465985230038,1940465985234758
3,3,"Agent 2",1,54251,54251,786432,78,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,1940465985293918,1940465985298278
4,4,"Agent 2",1,54251,54251,786432,78,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,1940465985349999,1940465985354319
5,5,"Agent 2",1,54251,54251,6144,78,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,1940465985408959,1940465985410799
6,6,"Agent 2",1,54251,54251,256,166,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,1940465985467119,1940465985468519
7,7,"Agent 2",1,54251,54251,512,166,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,1940465985520520,1940465985522080
8,8,"Agent 2",1,54251,54251,49152,166,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MfmaUtil",0.00000000e+00,1940465985578080,1940465985580000
9,9,"Agent 2",1,54251,54251,512,175,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MfmaUtil",0.00000000e+00,1940465985633121,1940465985636361
10,10,"Agent 2",1,54251,54251,256,346,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)",256,0,0,8,0,32,"MfmaUtil",0.00000000e+00,1940466004499761,1940466004502161
