"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,52169,1,163,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",1,1940375642234453,1940375642237093,0,0,4,0,16,256,1,1,512,1,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,2,163,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",2,1940375643068379,1940375643071619,0,0,4,0,16,256,1,1,147456,1,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,3,186,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>::result_type*)",3,1940375647010646,1940375647012326,0,0,4,0,16,128,1,1,128,1,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,4,174,"__amd_rocclr_copyBuffer",4,1940375647224167,1940375647226767,0,0,8,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,5,121,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",5,1940375647430489,1940375647432489,0,0,4,0,16,256,1,1,98304,1,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,6,121,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",6,1940375647607290,1940375647608490,0,0,4,0,16,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,7,169,"__amd_rocclr_initHeap",7,1940375751353087,1940375751356207,0,0,8,0,32,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,8,257,"_mla_decode_gluon",8,1940375751566648,1940375751575488,0,0,104,0,80,256,1,1,256,16,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,9,258,"_mla_reduce_project_value_kernel",9,1940375754059875,1940375754072275,0,0,16,0,32,512,1,1,98304,1,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,10,257,"_mla_decode_gluon",10,1940375754574758,1940375754583318,0,0,104,0,80,256,1,1,256,16,1
"KERNEL_DISPATCH","Agent 2",1,0,52169,11,258,"_mla_reduce_project_value_kernel",11,1940375754774280,1940375754786480,0,0,16,0,32,512,1,1,98304,1,1
