"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,52325,52325,512,88,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.007210,1940382285460831,1940382285463191
2,2,"Agent 2",1,52325,52325,147456,88,"void at::native::vectorized_elementwise_kernel<16, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Float8_e4m3fn>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",2.187174,1940382286187756,1940382286191076
3,3,"Agent 2",1,52325,52325,128,187,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(long)#1}>::result_type*)",128,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.010753,1940382290341804,1940382290343484
4,4,"Agent 2",1,52325,52325,512,176,"__amd_rocclr_copyBuffer",512,0,0,8,0,32,"MeanOccupancyPerActiveCU",1.497453,1940382290545485,1940382290548125
5,5,"Agent 2",1,52325,52325,98304,130,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.493795,1940382290642206,1940382290644326
6,6,"Agent 2",1,52325,52325,256,130,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"MeanOccupancyPerActiveCU",1.008611,1940382290717726,1940382290718926
7,7,"Agent 2",1,52325,52325,256,171,"__amd_rocclr_initHeap",256,0,0,8,0,32,"MeanOccupancyPerActiveCU",1.004290,1940382394908076,1940382394911636
8,8,"Agent 2",1,52325,52325,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"MeanOccupancyPerActiveCU",1.001399,1940382394997796,1940382395006516
9,9,"Agent 2",1,52325,52325,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"MeanOccupancyPerActiveCU",1.979334,1940382397658143,1940382397670543
10,10,"Agent 2",1,52325,52325,4096,257,"_mla_decode_gluon",256,0,0,104,0,80,"MeanOccupancyPerActiveCU",1.001186,1940382398102946,1940382398111586
11,11,"Agent 2",1,52325,52325,98304,258,"_mla_reduce_project_value_kernel",512,0,0,16,0,32,"MeanOccupancyPerActiveCU",1.979371,1940382398178667,1940382398191067
