category,kernel_name,calls,total_ms,avg_us,stage_gpu_time_pct
dense GEMM,_wmma_tdm_dense_largem_kernel.kd,3300,546.723,165.674,23.2216
AttnRes,gluon_attn_res_fwd_gfx1250.kd,1309,422.470,322.743,17.9441
MoE,_matmul.kd,1104,338.623,306.723,14.3827
input projections,_packed_input_projections_kernel.kd,644,288.209,447.529,12.2414
MLA attention,gluon_mla_prefill_gfx1250.kd,360,155.252,431.256,6.5942
KDA state scan,gluon_kda_paged_prefill_state_scan_gfx1250.kd,552,154.791,280.418,6.5746
dense GEMM,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x32_MI16x16x1_SN_LDSB0_AFC1_AG0_AGGSUA0_AGNTAB0_AFEM1_AFEM1_ASEM1_BL1_BS1_CD1_1_CLR1_CLS0_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB0_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA1_GRVWB1_GSUAMB_GLS0_HPLR0_ISA1250_ICIW1_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB16_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB1_ONLL1_PAP0_PGL0_PGR2_PLR0_PKA1_SGROB0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKFDPO0_SKWS0_SKXCCM0_SNLL0_SIP1_SGRO0_TDMI0_TDMIM0_TDMLWS0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS1_TLDSM1_ULSGRO0_USL1_USLMX0_UDFMAC0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_2_1_WGMXCC1.kd,1486,60.720,40.861,2.5790
KDA other,gluon_kda_paged_prefill_preprocess_gfx1250.kd,552,54.633,98.974,2.3205
other,_fp8_quantize_kernel.kd,1456,45.048,30.940,1.9134
MoE,_weighted_topk_reduce_gfx1250_kernel.kd,644,34.702,53.885,1.4739
elementwise,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}) [clone .kd]",2169,29.588,13.641,1.2567
MoE,_matmul_decode.kd,184,25.166,136.773,1.0689
MoE,_precomputed_topk_route_large_stage2_gfx1250_kernel.kd,644,22.243,34.539,0.9448
add3,_add3_kernel.kd,644,17.130,26.599,0.7276
KDA other,gluon_kda_paged_prefill_wu_vector_gfx1250.kd,552,15.942,28.880,0.6771
MoE,gluon_sigmoid_bias_topk_gfx1250.kd,644,15.418,23.941,0.6549
KDA other,_causal_conv1d_fwd_kernel.kd,483,14.252,29.508,0.6054
MoE,_precomputed_topk_route_large_stage4_gfx1250_kernel.kd,644,13.519,20.992,0.5742
MoE,_precomputed_topk_route_large_stage1_gfx1250_kernel.kd,644,10.270,15.947,0.4362
KDA other,gluon_kda_paged_prefill_gfx1250.kd,552,7.820,14.166,0.3321
other,_mla_nope_quantize_fp8_kernel.kd,168,7.025,41.813,0.2984
KDA other,gluon_kda_paged_prefill_solve_merge_gfx1250.kd,552,6.993,12.669,0.2970
rmsnorm,_rmsnorm_kernel.kd,644,6.208,9.640,0.2637
MoE,_situ_kernel.kd,644,5.113,7.939,0.2172
other,_fused_qkv_split_kernel.kd,483,5.106,10.571,0.2169
rmsnorm,_rmsnorm_gated_kernel.kd,483,4.997,10.346,0.2123
MoE,_sigmoid_mul_kernel.kd,168,4.783,28.469,0.2031
other,attn_merge_state_kernel.kd,192,4.749,24.735,0.2017
other,_mla_kv_pack_quantize_fp8_kernel.kd,192,3.932,20.477,0.1670
MoE,_precomputed_topk_route_large_stage3_gfx1250_kernel.kd,644,3.136,4.869,0.1332
