category,kernel_name,calls,total_ms,avg_us,stage_gpu_time_pct
dense GEMM,_wmma_tdm_dense_largem_kernel.kd,46944,9235.234,196.729,26.9934
MoE,_matmul.kd,18032,6043.325,335.144,17.6639
AttnRes,gluon_attn_res_fwd_gfx1250.kd,18326,4425.709,241.499,12.9358
input projections,gluon_latent_input_largem_gfx1250.kd,9016,3652.314,405.093,10.6753
MLA attention,gluon_mla_prefill_gfx1250.kd,5856,3002.824,512.777,8.7769
KDA state scan,gluon_kda_paged_prefill_state_scan_gfx1250.kd,7866,2526.489,321.191,7.3846
KDA other,gluon_kda_paged_prefill_preprocess_gfx1250.kd,7866,926.532,117.789,2.7081
MoE,_weighted_topk_reduce_gfx1250_kernel.kd,9016,569.035,63.114,1.6632
MoE,_precomputed_topk_route_large_stage2_gfx1250_kernel.kd,9016,322.812,35.804,0.9435
dense GEMM,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x32_MI16x16x1_SN_LDSB0_AFC1_AG0_AGGSUA0_AGNTAB0_AFEM1_AFEM1_ASEM1_BL1_BS1_CD1_1_CLR1_CLS0_CADS0_DTLA0_DTLB0_DTLM0_DTVA0_DTVB0_DTVMXSA0_DTVMXSB0_DTVSM0_DPLB0_EPS0_ELFLR0_EMLLn1_FDSI0_GRPM1_GRVWA1_GRVWB1_GSUAMB_GLS0_HPLR0_ISA1250_ICIW1_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPMXSA0_LBSPPMXSB0_LBSPPM0_LPA16_LPB16_LPMXSA0_LPMXSB0_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MXLIBL_MXSFNS_MO40_MGRIPM1_NTn1_NTA0_NTB0_NTC0_NTD0_NTE0_NTMXSA0_NTMXSB0_NTM0_NTWS0_NVn1_NVA0_NVB0_NVC0_NVD0_NVE0_NVMXSA0_NVMXSB0_NVM0_NVWS0_NEPBS0_NLCA1_NLCB1_ONLL1_PAP0_PGL0_PGR2_PLR0_PKA1_SGROB0_SIA3_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKFDPO0_SKWS0_SKXCCM0_SNLL0_SIP1_SGRO0_TDMI0_TDMIM0_TDMLWS0_TDMS0_TIN0_THn1_THA0_THB0_THC0_THD0_THE0_THMXSA0_THMXSB0_THM0_THWS0_TLDS1_TLDSM1_ULSGRO0_USL1_USLMX0_UDFMAC0_UIOFGRO0_UPLRP0_USFGROn1_USI0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG32_2_1_WGMXCC1.kd,8036,309.846,38.557,0.9056
add3,_add3_kernel.kd,9016,279.729,31.026,0.8176
KDA other,gluon_kda_paged_prefill_wu_vector_gfx1250.kd,7866,277.619,35.294,0.8114
MoE,gluon_sigmoid_bias_topk_gfx1250.kd,9016,256.284,28.426,0.7491
KDA other,_causal_conv1d_fwd_kernel.kd,6762,232.831,34.432,0.6805
elementwise,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}) [clone .kd]",14925,231.705,15.525,0.6772
MoE,_precomputed_topk_route_large_stage4_gfx1250_kernel.kd,9016,217.183,24.089,0.6348
MoE,_precomputed_topk_route_large_stage1_gfx1250_kernel.kd,9016,144.948,16.077,0.4237
other,gluon_kda_paged_prefill_gfx1250.kd,7866,129.333,16.442,0.3780
KDA other,gluon_kda_paged_prefill_solve_merge_gfx1250.kd,7866,116.502,14.811,0.3405
