kernel_name,calls,total_ms,gpu_time_pct,avg_us
gluon_mxfp4_moe_stage1_kernel,736,652.809779,19.067534,886.969808
_packed_input_projections_kernel,736,426.698925,12.463196,579.753974
gluon_mxfp4_moe_stage2_1x2_kernel,736,376.105211,10.985434,511.012515
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x208x64_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA512_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT4_13_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA4_VWB1_WSGRA0_WSGRB0_WS64_WG64_4_1,552,326.462434,9.535448,591.417453
_attn_res_rmsnorm_kernel,1496,293.686750,8.578122,196.314672
_mfma_lds_largem_kernel,736,225.221279,6.578355,306.007173
Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT224x256x64_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA128_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT7_8_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA1_VWB8_WSGRA0_WSGRB0_WS64_WG32_8_1,1488,187.494772,5.476424,126.004551
gluon_mxfp4_moe_stage2_reduce_kernel,736,164.772129,4.812731,223.875175
_state_scan_fwd_kernel,552,148.206942,4.328889,268.490837
_preprocess_intra_fwd_kernel,552,72.543868,2.118891,131.420051
_add3_kernel,736,61.707807,1.802387,83.842129
_mla_prefill_kernel,192,47.844495,1.397461,249.190078
_gather_package_cdna4_scale_kernel,736,44.269224,1.293034,60.148402
